# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
0.500000,0.785451,3.517093,-1.278649,-0.090363,4.772109,3.698247
0.510000,0.799215,3.470190,-1.291883,-0.088149,4.808931,3.757065
0.520000,0.812364,3.423112,-1.304820,-0.085969,4.846059,3.816618
0.530000,0.824911,3.375869,-1.317492,-0.083820,4.883490,3.877133
0.540000,0.836868,3.328474,-1.329906,-0.081699,4.921220,3.938801
0.550000,0.848250,3.280937,-1.341985,-0.079606,4.959252,4.001679
0.560000,0.859069,3.233269,-1.353640,-0.077541,4.997592,4.065800
0.570000,0.869339,3.185479,-1.364777,-0.075506,5.036243,4.131197
0.580000,0.879073,3.137578,-1.375380,-0.073501,5.075211,4.197872
0.590000,0.888283,3.089573,-1.385735,-0.071523,5.114501,4.265712
0.600000,0.896983,3.041473,-1.396204,-0.069569,5.154117,4.334574
0.610000,0.905186,2.993286,-1.407149,-0.067637,5.194064,4.404315
0.620000,0.912905,2.945018,-1.418706,-0.065725,5.234345,4.474952
0.630000,0.920153,2.896678,-1.429894,-0.063835,5.274962,4.547306
0.640000,0.926943,2.848272,-1.439380,-0.061971,5.315914,4.622451
0.650000,0.933287,2.799804,-1.445833,-0.060137,5.357200,4.701457
0.660000,0.939199,2.751283,-1.448575,-0.058334,5.398824,4.784881
0.670000,0.944691,2.702712,-1.451022,-0.056552,5.440811,4.870060
0.680000,0.949775,2.654096,-1.458156,-0.054777,5.483198,4.953094
0.690000,0.954464,2.605441,-1.474966,-0.052993,5.526021,5.030081
0.700000,0.958771,2.556750,-1.504553,-0.051189,5.569303,5.097342
0.710000,0.962709,2.508028,-1.535281,-0.049374,5.612984,5.152922
0.720000,0.966289,2.459279,-1.548580,-0.047564,5.656963,5.195679
0.730000,0.969526,2.410505,-1.525843,-0.045779,5.701137,5.224479
0.740000,0.972431,2.361711,-1.453737,-0.044035,5.745405,5.238538
0.750000,0.975018,2.312899,-1.371355,-0.042325,5.789648,5.240614
0.760000,0.977299,2.264071,-1.347799,-0.040633,5.833744,5.235485
0.770000,0.979285,2.215231,-1.452526,-0.038939,5.877568,5.227954
0.780000,0.980990,2.166380,-1.740666,-0.037226,5.921002,5.222559
0.790000,0.982425,2.117520,-2.083250,-0.035491,5.964022,5.220427
0.800000,0.983603,2.068653,-2.223634,-0.033739,6.006671,5.220318
0.810000,0.984537,2.019782,-1.902608,-0.031976,6.048989,5.220944
0.820000,0.985240,1.970906,-0.881357,-0.030208,6.091017,5.221070
0.830000,0.985724,1.922028,0.731340,-0.028433,6.132773,5.220306
0.840000,0.986002,1.873148,2.535607,-0.026646,6.174254,5.218975
0.850000,0.986087,1.824267,-2.160599,-0.024839,6.215455,5.217423
0.860000,0.985993,1.775386,-1.186156,-0.023005,6.256373,5.215986
0.870000,0.985733,1.726507,-0.900912,-0.021099,6.297010,5.214790
0.880000,0.985322,1.677628,-1.059863,-0.019040,6.337374,5.213752
0.890000,0.984776,1.628750,-1.403772,-0.016744,6.377472,5.212781
0.900000,0.984110,1.579874,-1.677603,-0.014134,6.417312,5.211786
0.910000,0.983341,1.531000,-1.767950,-0.011264,6.456900,5.210725
0.920000,0.982490,1.482126,-1.733847,-0.008355,6.496240,5.209621
0.930000,0.981576,1.433254,-1.644758,-0.005636,6.535335,5.208497
0.940000,0.980620,1.384383,-1.569500,-0.003334,6.574189,5.207378
0.950000,0.979639,1.335512,-1.543138,-0.001566,6.612807,5.206278
0.960000,0.978641,1.286641,-1.551106,-0.000287,6.651192,5.205189
0.970000,0.977636,1.237771,-1.574865,0.000562,6.689348,5.204107
0.980000,0.976632,1.188900,-1.595964,0.001041,6.727280,5.203024
0.990000,0.975637,1.140030,-1.603859,0.001221,6.764992,5.201936
1.000000,0.974649,1.091159,-1.602103,0.001201,6.802487,5.200845
1.010000,0.973669,1.042288,-1.595699,0.001080,6.839769,5.199753
1.020000,0.972696,0.993417,-1.589645,0.000958,6.876841,5.198662
1.030000,0.971731,0.944546,-1.587101,0.000900,6.913706,5.197573
1.040000,0.970772,0.895675,-1.587247,0.000890,6.950368,5.196485
1.050000,0.969821,0.846803,-1.588740,0.000904,6.986830,5.195396
1.060000,0.968876,0.797932,-1.590237,0.000916,7.023095,5.194306
1.070000,0.967938,0.749060,-1.590812,0.000910,7.059167,5.193213
1.080000,0.967006,0.700188,-1.590644,0.000891,7.095047,5.192122
1.090000,0.966081,0.651317,-1.590092,0.000867,7.130739,5.191034
1.100000,0.965161,0.602444,-1.589515,0.000845,7.166247,5.189954
1.110000,0.964248,0.553572,-1.589182,0.000832,7.201571,5.188881
1.120000,0.963341,0.504700,-1.589057,0.000826,7.236716,5.187807
1.130000,0.962440,0.455828,-1.589045,0.000820,7.271684,5.186718
1.140000,0.961545,0.406955,-1.589048,0.000813,7.306478,5.185605
1.150000,0.960656,0.358083,-1.588990,0.000800,7.341099,5.184463
1.160000,0.959773,0.309210,-1.588876,0.000783,7.375551,5.183328
1.170000,0.958895,0.260337,-1.588733,0.000764,7.409835,5.182242
1.180000,0.958023,0.211464,-1.588588,0.000745,7.443953,5.181247
1.190000,0.957156,0.162591,-1.588460,0.000729,7.477908,5.180361
1.200000,0.956294,0.113718,-1.588351,0.000714,7.511703,5.179464
1.210000,0.955438,0.064845,-1.588253,0.000702,7.545340,5.178398
1.220000,0.954587,0.015972,-1.588159,0.000692,7.578823,5.177001
1.230000,0.953741,-0.032902,-1.588062,0.000684,7.612153,5.175193
1.240000,0.952899,-0.081775,-1.587962,0.000677,7.645331,5.173379
1.250000,0.952063,-0.130649,-1.587860,0.000672,7.678356,5.172159
1.260000,0.951231,-0.179522,-1.587758,0.000669,7.711227,5.172129
1.270000,0.950405,-0.228396,-1.587658,0.000666,7.743944,5.173663
1.280000,0.949583,-0.277270,-1.587559,0.000664,7.776515,5.175372
1.290000,0.948766,-0.326144,-1.587461,0.000661,7.808954,5.175029
1.300000,0.947954,-0.375018,-1.587365,0.000657,7.841272,5.170403
1.310000,0.947146,-0.423892,-1.587269,0.000650,7.873481,5.159890
1.320000,0.946344,-0.472766,-1.587174,0.000641,7.905558,5.148158
1.330000,0.945545,-0.521640,-1.587079,0.000631,7.937465,5.143487
1.340000,0.944752,-0.570514,-1.586986,0.000621,7.969161,5.154204
1.350000,0.943963,-0.619389,-1.586894,0.000612,8.000615,5.186935
1.360000,0.943178,-0.668263,-1.586804,0.000605,8.031905,5.226294
1.370000,0.942398,-0.717138,-1.586714,0.000602,8.063186,5.241523
1.380000,0.941622,-0.766012,-1.586624,0.000602,8.094611,5.201552
1.390000,0.940851,-0.814887,-1.586534,0.000608,8.126316,5.079740
1.400000,0.940084,-0.863762,-1.586443,0.000618,8.158054,4.925734
1.410000,0.939321,-0.912636,-1.586350,0.000632,8.189264,4.853478
1.420000,0.938563,-0.961511,-1.586255,0.000648,8.219373,4.978930
1.430000,0.937810,-1.010386,-1.586158,0.000667,8.247863,5.407032
1.440000,0.937061,-1.059261,-1.586058,0.000687,8.275506,5.981921
1.450000,0.936318,-1.108136,-1.585955,0.000707,8.304388,6.282700
1.460000,0.935580,-1.157011,-1.585848,0.000728,8.336653,5.876614
1.470000,0.934846,-1.205887,-1.585739,0.000749,8.374318,4.343839
1.480000,0.934119,-1.254762,-1.585627,0.000769,8.415047,1.707160
1.490000,0.933397,-1.303637,-1.585511,0.000789,8.451170,-1.468298
1.500000,0.932680,-1.352513,-1.585393,0.000808,8.474691,-4.584268
1.510000,0.931970,-1.401388,-1.585272,0.000826,8.477714,-7.048571
1.520000,0.931265,-1.450264,-1.585149,0.000844,8.457666,-8.592859
1.530000,0.930567,-1.499140,-1.585021,0.000867,8.419851,-9.428104
1.540000,0.929875,-1.548015,-1.584889,0.000896,8.370209,-9.803978
1.550000,0.929189,-1.596891,-1.584751,0.000936,8.314660,-9.969138
1.560000,0.928511,-1.645767,-1.584609,0.000984,8.257188,-10.078501
1.570000,0.927839,-1.694643,-1.584462,0.001029,8.198305,-10.118804
1.580000,0.927174,-1.743520,-1.584313,0.001056,8.138161,-10.059265
1.590000,0.926517,-1.792396,-1.584163,0.001054,8.076907,-9.869241
1.600000,0.925867,-1.841272,-1.584027,0.000966,8.014933,-9.545148
1.610000,0.925221,-1.890149,-1.583951,0.000644,7.953147,-9.142520
1.620000,0.924576,-1.939025,-1.583984,-0.000073,7.892525,-8.724705
1.630000,0.923928,-1.987902,-1.584175,-0.001343,7.834045,-8.355011
1.640000,0.923271,-2.036778,-1.584569,-0.003219,7.778298,-8.074668
1.650000,0.922591,-2.085654,-1.585200,-0.005463,7.724849,-7.865781
1.660000,0.921871,-2.134529,-1.586101,-0.007789,7.673093,-7.700661
1.670000,0.921094,-2.183404,-1.587305,-0.009911,7.622422,-7.551623
1.680000,0.920247,-2.232277,-1.588828,-0.011626,7.572368,-7.397583
1.690000,0.919317,-2.281149,-1.590634,-0.013008,7.522906,-7.239263
1.700000,0.918295,-2.330019,-1.592676,-0.014187,7.474109,-7.081876
1.710000,0.917172,-2.378886,-1.594906,-0.015293,7.426044,-6.930637
1.720000,0.915937,-2.427751,-1.597286,-0.016431,7.378761,-6.789772
1.730000,0.914583,-2.476613,-1.599815,-0.017604,7.332221,-6.659476
1.740000,0.913100,-2.525471,-1.602503,-0.018787,7.286365,-6.538909
1.750000,0.911482,-2.574325,-1.605359,-0.019957,7.241132,-6.427233
1.760000,0.909719,-2.623174,-1.608389,-0.021092,7.196463,-6.323578
1.770000,0.907804,-2.672018,-1.611590,-0.022188,7.152308,-6.226911
1.780000,0.905729,-2.720855,-1.614954,-0.023247,7.108620,-6.136148
1.790000,0.903485,-2.769685,-1.618473,-0.024269,7.065353,-6.050203
1.800000,0.901067,-2.818506,-1.622141,-0.025256,7.022461,-5.968144
1.810000,0.898465,-2.867318,-1.625953,-0.026214,6.979919,-5.890001
1.820000,0.895675,-2.916120,-1.629907,-0.027149,6.937708,-5.816182
1.830000,0.892687,-2.964910,-1.633998,-0.028069,6.895808,-5.747090
1.840000,0.889498,-3.013687,-1.638225,-0.028979,6.854200,-5.683115
1.850000,0.886098,-3.062451,-1.642585,-0.029880,6.812854,-5.624487
1.860000,0.882483,-3.111199,-1.647076,-0.030769,6.771738,-5.571366
1.870000,0.878646,-3.159930,-1.651697,-0.031640,6.730818,-5.523908
1.880000,0.874581,-3.208642,-1.656446,-0.032492,6.690059,-5.482170
1.890000,0.870281,-3.257335,-1.661320,-0.033322,6.649423,-5.445163
1.900000,0.865740,-3.306006,-1.666315,-0.034127,6.608868,-5.411294
1.910000,0.860954,-3.354653,-1.671428,-0.034906,6.568351,-5.378964
1.920000,0.855917,-3.403275,-1.676654,-0.035657,6.527833,-5.346637
1.930000,0.850622,-3.451870,-1.681991,-0.036386,6.487298,-5.313655
1.940000,0.845066,-3.500436,-1.687439,-0.037106,6.446751,-5.279969
1.950000,0.839243,-3.548970,-1.692995,-0.037828,6.406197,-5.245546
1.960000,0.833147,-3.597470,-1.698659,-0.038565,6.365639,-5.210371
1.970000,0.826775,-3.645935,-1.704433,-0.039323,6.325084,-5.174749
1.980000,0.820120,-3.694362,-1.710319,-0.040103,6.284537,-5.139265
1.990000,0.813177,-3.742748,-1.716323,-0.040906,6.244006,-5.104509
2.000000,0.805941,-3.791091,-1.722448,-0.041733,6.203497,-5.071024
2.010000,0.798406,-3.839388,-1.728696,-0.042583,6.163006,-5.038242
2.020000,0.790567,-3.887637,-1.735071,-0.043450,6.122521,-5.004450
2.030000,0.782417,-3.935834,-1.741575,-0.044330,6.082028,-4.967889
2.040000,0.773950,-3.983976,-1.748210,-0.045218,6.041516,-4.926834
2.050000,0.765161,-4.032060,-1.754980,-0.046119,6.000996,-4.880892
2.060000,0.756043,-4.080083,-1.761890,-0.047049,5.960515,-4.831312
2.070000,0.746590,-4.128040,-1.768945,-0.048024,5.920117,-4.779442
2.080000,0.736796,-4.175929,-1.776150,-0.049062,5.879851,-4.726629
2.090000,0.726654,-4.223745,-1.783510,-0.050169,5.839745,-4.673970
2.100000,0.716156,-4.271484,-1.791036,-0.051334,5.799807,-4.622191
2.110000,0.705295,-4.319142,-1.798735,-0.052547,5.760041,-4.571993
2.120000,0.694063,-4.366713,-1.806617,-0.053796,5.720452,-4.524064
2.130000,0.682452,-4.414194,-1.814687,-0.055072,5.681036,-4.478340
2.140000,0.670454,-4.461578,-1.822947,-0.056366,5.641772,-4.433394
2.150000,0.658060,-4.508860,-1.831401,-0.057672,5.602639,-4.387655
2.160000,0.645262,-4.556034,-1.840048,-0.058982,5.563616,-4.339556
2.170000,0.632052,-4.603094,-1.848892,-0.060296,5.524697,-4.288301
2.180000,0.618422,-4.650035,-1.857937,-0.061630,5.485914,-4.234786
2.190000,0.604363,-4.696848,-1.867188,-0.063001,5.447301,-4.180133
2.200000,0.589866,-4.743528,-1.876648,-0.064426,5.408894,-4.125465
2.210000,0.574925,-4.790067,-1.886323,-0.065915,5.370720,-4.071503
2.220000,0.559528,-4.836458,-1.896220,-0.067461,5.332778,-4.017892
2.230000,0.543668,-4.882692,-1.906347,-0.069051,5.295066,-3.964096
2.240000,0.527335,-4.928761,-1.916712,-0.070675,5.257579,-3.909580
2.250000,0.510519,-4.974657,-1.927322,-0.072323,5.220318,-3.853999
