time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
3.600000,-1.312236,-6.682095,-3.091072,-0.600002,2.707234,-1.117224
3.650000,-1.502031,-6.680819,3.076872,-0.627001,2.627743,-0.566193
3.700000,-1.690164,-6.656922,2.950858,-0.713260,2.584408,0.106549
3.750000,-1.873199,-6.607884,2.804873,-0.842147,2.592611,-0.046572
3.800000,-2.046188,-6.530290,2.631765,-0.949718,2.589098,-0.009838
3.850000,-2.202538,-6.422898,2.447214,-0.945519,2.588415,-0.001780
3.900000,-2.337303,-6.289406,2.278012,-0.838212,2.588201,-0.061334
3.950000,-2.449181,-6.136198,2.127939,-0.745417,2.584048,0.143314
4.000000,-2.538308,-5.968725,1.994463,-0.659954,2.592702,1.115409
4.050000,-2.605804,-5.791413,1.877203,-0.575970,2.671821,1.761326
4.100000,-2.653549,-5.607794,1.775550,-0.503153,2.793319,2.131086
4.150000,-2.683529,-5.420421,1.684934,-0.453817,2.934472,2.165911
4.200000,-2.697258,-5.231124,1.602744,-0.413439,3.071401,2.179439
4.250000,-2.696087,-5.041302,1.527598,-0.379315,3.203272,2.193713
4.300000,-2.681242,-4.852021,1.458401,-0.349289,3.330732,2.226399
4.350000,-2.653874,-4.664141,1.394774,-0.321314,3.455233,2.302140
4.400000,-2.615102,-4.478288,1.336334,-0.294256,3.579358,2.433492
4.450000,-2.566000,-4.294873,1.282997,-0.265180,3.705945,2.683200
4.500000,-2.507755,-4.114180,1.236115,-0.227182,3.840427,3.278889
4.550000,-2.441792,-3.936162,1.197158,-0.183583,3.998275,4.030998
4.600000,-2.369651,-3.760529,1.166289,-0.141740,4.184526,4.948578
4.650000,-2.292809,-3.586903,1.143271,-0.101078,4.402260,5.027948
4.700000,-2.212647,-3.414784,1.127854,-0.061178,4.614760,6.086355
4.750000,-2.130494,-3.243614,1.120076,-0.020179,4.857506,1.391828
4.800000,-2.047702,-3.072771,1.120376,0.023287,4.922486,-5.462474
4.850000,-1.965658,-2.901548,1.128893,0.065904,4.707537,-5.315025
4.900000,-1.885752,-2.729299,1.145293,0.106880,4.486776,-4.019504
4.950000,-1.809368,-2.555485,1.169539,0.149678,4.311992,-2.896502
5.000000,-1.737973,-2.379590,1.202345,0.195429,4.181304,-1.886138
5.050000,-1.673137,-2.201133,1.243635,0.237319,4.093738,-0.889528
5.100000,-1.616392,-2.019936,1.292130,0.273836,4.050792,0.023749
5.150000,-1.569154,-1.836094,1.347559,0.308159,4.051862,-0.046786
5.200000,-1.532733,-1.649846,1.408507,0.328488,4.049709,-0.032912
5.250000,-1.507938,-1.461713,1.470953,0.325680,4.048122,-0.034637
5.300000,-1.494782,-1.272358,1.531419,0.310151,4.046601,-0.045933
5.350000,-1.492789,-1.082515,1.588562,0.290415,4.044118,0.387313
5.400000,-1.501260,-0.892836,1.641573,0.267390,4.061526,1.030563
5.450000,-1.519347,-0.703836,1.690019,0.241439,4.108700,1.631642
5.500000,-1.546069,-0.515876,1.733065,0.211263,4.182716,2.290418
5.550000,-1.580306,-0.329133,1.770203,0.180514,4.284669,2.930449
5.600000,-1.620926,-0.143671,1.801705,0.151537,4.411978,3.538194
5.650000,-1.666864,0.040538,1.827788,0.123322,4.561030,4.140348
5.700000,-1.717108,0.223635,1.848608,0.096854,4.729645,5.012101
5.750000,-1.770715,0.405783,1.864618,0.071218,4.925754,5.077104
5.800000,-1.826772,0.587170,1.875561,0.043266,5.118503,6.002484
5.850000,-1.884316,0.768094,1.881021,0.015049,5.335091,1.919796
5.900000,-1.942388,0.948872,1.881386,-0.010867,5.412947,-5.600672
5.950000,-2.000083,1.129760,1.876878,-0.037309,5.214077,-6.146829
6.000000,-2.056490,1.311040,1.867174,-0.064908,4.984238,-5.032558
6.050000,-2.110666,1.493015,1.852308,-0.090722,4.787939,-4.456734
6.100000,-2.161704,1.675907,1.832785,-0.115263,4.607271,-3.870358
6.150000,-2.208720,1.859853,1.808449,-0.141657,4.444299,-3.392894
6.200000,-2.250769,2.044984,1.778970,-0.168889,4.296597,-3.208358
6.250000,-2.286871,2.231402,1.744474,-0.191936,4.152386,-3.140342
6.300000,-2.316156,2.419009,1.706112,-0.214279,4.005900,-2.821962
6.350000,-2.337777,2.607628,1.662922,-0.240265,3.869470,-2.562276
6.400000,-2.350771,2.797040,1.614826,-0.266332,3.741383,-2.325375
6.450000,-2.354172,2.986913,1.561744,-0.293182,3.620935,-1.906201
6.500000,-2.346978,3.176672,1.502992,-0.326818,3.519131,-1.664675
6.550000,-2.328037,3.365545,1.437746,-0.356433,3.427939,-1.558813
6.600000,-2.296373,3.552763,1.368301,-0.370586,3.340498,-1.632190
6.650000,-2.251604,3.737357,1.297189,-0.377497,3.246654,-1.867422
6.700000,-2.193729,3.918199,1.224703,-0.384740,3.136185,-2.339063
6.750000,-2.122865,4.094168,1.150687,-0.400328,2.991891,-2.546202
6.800000,-2.038853,4.264138,1.070862,-0.457942,2.824973,-1.863293
6.850000,-1.940341,4.426218,0.975256,-0.559454,2.695323,-1.092066
6.900000,-1.825212,4.577053,0.859706,-0.650346,2.616208,-0.434580
6.950000,-1.692412,4.712605,0.729790,-0.711489,2.582999,0.058500
7.000000,-1.542581,4.829029,0.589633,-0.767048,2.587519,-0.033733
7.050000,-1.377419,4.922384,0.437112,-0.840423,2.584952,-0.008629
7.100000,-1.199632,4.988300,0.269718,-0.933195,2.584460,-0.017876
