time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
3.650000,-0.274587,-6.217698,-2.390085,-0.419626,2.879823,-1.188699
3.700000,-0.403652,-6.329783,-2.463484,-0.440649,2.808547,-1.295589
3.750000,-0.540781,-6.431839,-2.540711,-0.461864,2.728969,-1.243874
3.800000,-0.685522,-6.522758,-2.621402,-0.483271,2.649061,-1.350236
3.850000,-0.837255,-6.601445,-2.705355,-0.500605,2.563516,-1.668862
3.900000,-0.995204,-6.666750,-2.794935,-0.547250,2.447805,-1.311843
3.950000,-1.158603,-6.716878,-2.895275,-0.624498,2.353738,-1.265554
4.000000,-1.326386,-6.749376,-3.006958,-0.685286,2.258723,-0.972324
4.050000,-1.496807,-6.762031,-3.129971,-0.753177,2.182182,-0.802460
4.100000,-1.667411,-6.752691,3.018444,-0.821733,2.117162,-0.386332
4.150000,-1.835077,-6.719961,2.878964,-0.821860,2.080974,0.065492
4.200000,-1.996525,-6.664065,2.738248,-0.821925,2.086660,-0.036372
4.250000,-2.148313,-6.585764,2.588714,-0.921689,2.084447,-0.002391
4.300000,-2.286326,-6.485101,2.435410,-0.882769,2.081934,0.454574
4.350000,-2.407861,-6.365038,2.291357,-0.806208,2.115262,0.953604
4.400000,-2.511731,-6.229379,2.158869,-0.745894,2.189008,1.062560
4.450000,-2.597488,-6.081581,2.035575,-0.698391,2.271282,0.979102
4.500000,-2.665025,-5.924606,1.919757,-0.658018,2.344013,0.950031
4.550000,-2.714543,-5.761040,1.810927,-0.616931,2.412343,1.012418
4.600000,-2.746597,-5.593165,1.709276,-0.573174,2.482054,1.158961
4.650000,-2.762059,-5.422949,1.614537,-0.535661,2.560348,1.207029
4.700000,-2.761919,-5.252023,1.526616,-0.493888,2.639159,1.385414
4.750000,-2.747388,-5.081707,1.446030,-0.449210,2.726123,1.637538
4.800000,-2.719853,-4.912995,1.373349,-0.401492,2.825593,1.969616
4.850000,-2.680827,-4.746556,1.309056,-0.350723,2.940388,2.399959
4.900000,-2.631902,-4.582745,1.253556,-0.298537,3.074642,2.925277
4.950000,-2.574692,-4.421638,1.207146,-0.244562,3.230509,3.596062
5.000000,-2.510789,-4.263068,1.169793,-0.192774,3.412472,4.357858
5.050000,-2.441654,-4.106710,1.140370,-0.151020,3.621274,5.061403
5.100000,-2.368482,-3.952192,1.117753,-0.113213,3.851043,5.357781
5.150000,-2.292341,-3.799114,1.101856,-0.073242,4.082169,5.017829
5.200000,-2.214286,-3.647003,1.092635,-0.034917,4.288536,5.935769
5.250000,-2.135306,-3.495364,1.089544,-0.001244,4.512213,3.722054
5.300000,-2.056289,-3.343736,1.092179,0.031923,4.681159,-4.564796
