44,4
40,8
39,8
37,10
36,10
35,11
30,11
29,12
27,12
26,13
24,13
23,14
22,14
21,15
20,15
19,16
19,17
17,19
17,20
16,21
16,22
15,23
15,24
14,25
14,28
13,29
13,31
12,32
12,35
11,36
11,38
10,39
10,41
9,42
9,45
8,46
8,65
9,66
9,70
10,71
10,77
11,78
11,81
12,82
12,85
13,86
13,89
14,90
14,92
15,93
15,94
16,95
16,97
17,98
17,99
18,100
18,102
19,103
19,105
20,106
20,108
21,109
21,110
22,111
22,113
23,114
23,116
25,118
25,119
26,120
26,121
27,122
27,124
28,125
28,126
29,127
29,129
30,130
30,132
31,133
31,135
32,136
32,137
33,138
33,140
34,141
34,142
35,143
35,145
36,146
36,147
37,148
37,150
38,151
38,152
39,153
39,155
40,156
40,158
41,159
41,164
42,165
42,175
40,177
40,178
39,179
39,180
38,181
38,182
37,183
37,184
36,185
36,186
34,188
34,189
33,190
33,191
32,192
32,193
31,194
31,195
29,197
29,198
28,199
28,200
26,202
26,203
25,204
25,205
23,207
23,208
22,209
22,210
20,212
20,213
19,214
19,215
17,217
17,218
15,220
15,221
13,223
13,224
11,226
11,227
8,230
8,231
4,235
4,266
7,269
7,271
8,272
8,273
9,274
9,276
11,278
11,280
15,284
15,285
16,285
17,286
18,286
19,287
20,287
21,288
22,288
25,291
26,291
33,298
34,298
35,299
37,299
38,300
39,300
40,301
41,301
42,302
43,302
44,303
46,303
49,306
50,306
51,307
63,307
64,306
65,306
68,303
69,303
70,302
72,302
73,301
75,301
76,300
78,300
79,299
80,299
81,298
82,298
83,297
84,297
87,294
87,293
88,292
88,291
89,290
89,289
90,288
90,287
91,286
91,284
92,283
92,282
93,281
93,276
94,275
94,259
95,258
95,242
96,241
96,234
97,233
97,230
99,228
99,227
100,226
100,220
99,219
99,218
97,216
97,210
96,209
96,194
95,193
95,165
96,164
96,108
97,107
97,101
99,99
99,98
100,97
100,51
99,50
99,49
97,47
97,44
96,43
96,39
95,38
95,35
94,34
94,30
93,29
93,28
91,26
91,25
90,24
90,23
89,22
89,20
85,16
84,16
83,15
82,15
81,14
79,14
78,13
77,13
76,12
74,12
73,11
72,11
71,10
70,10
69,9
67,9
66,8
65,8
61,4
