time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.852928,5.125907,-0.046640,-0.816011,2.599037,0.798610
0.050000,-0.653903,5.100430,-0.206865,-0.782708,2.659904,0.755333
0.100000,-0.461174,5.044496,-0.355185,-0.696869,2.716492,1.413326
0.150000,-0.278141,4.962122,-0.488388,-0.631262,2.819195,1.621433
0.200000,-0.106938,4.857301,-0.608039,-0.561134,2.932543,1.937947
0.250000,0.051256,4.733688,-0.717522,-0.530317,3.062361,1.692095
0.300000,0.195548,4.594075,-0.818469,-0.475279,3.171448,2.010083
0.350000,0.325770,4.441236,-0.910762,-0.444563,3.296324,1.926758
0.400000,0.441913,4.277430,-0.995953,-0.403985,3.411725,2.137203
0.450000,0.544356,4.104713,-1.073879,-0.372401,3.535361,2.216040
0.500000,0.633626,3.924825,-1.145311,-0.339080,3.659127,2.404403
0.550000,0.710436,3.739266,-1.210335,-0.308564,3.788868,2.586699
0.600000,0.775602,3.549299,-1.269343,-0.279305,3.923647,2.800451
0.650000,0.830007,3.355969,-1.322744,-0.251867,4.064535,3.029689
0.700000,0.874559,3.160129,-1.370444,-0.225996,4.211650,3.280810
0.750000,0.910172,2.962464,-1.414504,-0.201550,4.365372,3.557690
0.800000,0.937749,2.763515,-1.448108,-0.178344,4.526173,3.867176
0.850000,0.958179,2.563703,-1.499829,-0.156041,4.694720,4.218842
0.900000,0.972339,2.363346,-1.456700,-0.133701,4.871960,4.668189
0.950000,0.981108,2.162679,-1.767874,-0.112462,5.060848,5.108818
1.000000,0.985345,1.961864,-0.616103,-0.090573,5.259756,5.248415
1.050000,0.985933,1.761004,-1.040797,-0.068057,5.456505,5.234076
1.100000,0.983811,1.560153,-1.733483,-0.039383,5.645890,5.232279
1.150000,0.980120,1.359324,-1.550547,-0.007160,5.829067,5.227029
1.200000,0.976012,1.158503,-1.602280,0.003581,6.006484,5.222735
1.250000,0.971989,0.957680,-1.587465,0.002757,6.178669,5.218180
1.300000,0.968087,0.756855,-1.590780,0.002765,6.346040,5.213714
1.350000,0.964294,0.556028,-1.589193,0.002524,6.508970,5.209180
1.400000,0.960604,0.355199,-1.588984,0.002423,6.667785,5.204859
1.450000,0.957011,0.154368,-1.588441,0.002200,6.822776,5.199750
1.500000,0.953507,-0.046464,-1.588034,0.002066,6.974178,5.197704
1.550000,0.950086,-0.247298,-1.587619,0.002017,7.122299,5.183842
1.600000,0.946748,-0.448133,-1.587222,0.001956,7.267035,5.215595
1.650000,0.943487,-0.648970,-1.586839,0.001841,7.409758,5.071594
1.700000,0.940302,-0.849808,-1.586469,0.001862,7.546068,5.603964
1.750000,0.937193,-1.050647,-1.586076,0.002070,7.693669,3.261535
1.800000,0.934167,-1.251487,-1.585634,0.002327,7.777666,-5.938382
1.850000,0.931236,-1.452329,-1.585143,0.002561,7.621335,-10.325516
1.900000,0.928408,-1.653172,-1.584586,0.003004,7.344828,-9.823660
1.950000,0.925698,-1.854017,-1.584000,0.002760,7.070551,-9.283985
2.000000,0.923023,-2.054862,-1.584773,-0.012187,6.802374,-7.375219
2.050000,0.919812,-2.255699,-1.589662,-0.037340,6.580913,-6.587753
2.100000,0.915155,-2.456506,-1.598756,-0.051880,6.376864,-5.854403
2.150000,0.908399,-2.657255,-1.610605,-0.066256,6.189774,-5.325214
2.200000,0.898982,-2.857898,-1.625206,-0.078900,6.014555,-4.927256
2.250000,0.886391,-3.058367,-1.642215,-0.090346,5.847741,-4.623792
