#x_m,y_m,w_tr_right_m,w_tr_left_m
-0.98,5.520000000000001,0.7000000000000001,1.3817821063276354
-0.9300000000000002,5.470000000000001,0.65,1.4034441853748634
-0.73,5.470000000000001,0.6658910531638177,1.3256816492197605
-0.6800000000000002,5.42,0.6300735254367722,1.3580127840328724
-0.5800000000000001,5.42,0.65,1.3147344063956181
-0.5299999999999998,5.370000000000001,0.6019202405202649,1.3365424623862048
-0.3799999999999999,5.370000000000001,0.6300735254367722,1.2785330255586425
-0.33000000000000007,5.32,0.6000000000000001,1.3101470508735444
-0.2799999999999998,5.32,0.620820393249937,1.291640786499874
-0.22999999999999998,5.270000000000001,0.6000000000000001,1.3156500283747663
-0.18000000000000016,5.270000000000001,0.620820393249937,1.2962912017836261
0.020000000000000018,5.07,0.5863961030678928,1.2000000000000002
0.020000000000000018,5.020000000000001,0.5510407640085654,1.214911064067352
0.1200000000000001,4.92,0.5510407640085654,1.1384864324004713
0.1200000000000001,4.870000000000001,0.5156854249492381,1.1520815280171308
0.27,4.720000000000001,0.5156854249492381,1.0293516572461452
0.27,4.67,0.48033008588991066,1.0420164833920778
0.36999999999999966,4.57,0.48033008588991066,0.9611874208078343
0.36999999999999966,4.520000000000001,0.4449747468305833,0.969803902718557
0.4200000000000004,4.470000000000001,0.4449747468305833,0.932344135219425
0.4200000000000004,4.42,0.4109772228646444,0.9462429422585639
0.4700000000000002,4.370000000000001,0.4216990566028302,0.9156603957913984
0.4700000000000002,4.32,0.397213595499958,0.9348857801796104
0.52,4.270000000000001,0.42434164902525695,0.9117692030835672
0.52,4.220000000000001,0.4109772228646444,0.9361541461658011
0.5699999999999998,4.17,0.4424428900898052,0.9
0.5699999999999998,4.020000000000001,0.397213595499958,0.9
0.6199999999999997,3.9700000000000006,0.42434164902525695,0.8500000000000001
0.6199999999999997,2.5700000000000003,0.42434164902525695,0.8500000000000001
0.5699999999999998,2.5200000000000014,0.397213595499958,0.9
0.5699999999999998,2.3200000000000003,0.4109772228646444,0.8444271909999159
0.52,2.2700000000000014,0.37720018726587656,0.8692388155425118
0.52,1.92,0.4109772228646444,0.8
0.4700000000000002,1.870000000000001,0.35311288741492747,0.8500000000000001
0.4700000000000002,-0.9799999999999995,0.4027692569068709,0.8
0.4200000000000004,-1.0299999999999994,0.3623105625617661,0.8500000000000001
0.4200000000000004,-1.83,0.4027692569068709,0.8
0.36999999999999966,-1.88,0.3623105625617661,0.8500000000000001
0.36999999999999966,-2.2799999999999994,0.42434164902525695,0.8500000000000001
0.31999999999999984,-2.33,0.397213595499958,0.9
0.31999999999999984,-2.4799999999999995,0.4424428900898052,0.9
0.27,-2.5299999999999994,0.4216990566028302,0.9500000000000001
0.27,-3.7299999999999995,0.5352349955359813,1.05
0.2200000000000002,-3.7799999999999994,0.5,1.101086443322134
0.2200000000000002,-4.33,0.558276253029822,1.1172617529928752
0.16999999999999993,-4.38,0.520087712549569,1.1593386622447823
0.16999999999999993,-4.63,0.558276253029822,1.10974135047432
0.1200000000000001,-4.68,0.520087712549569,1.1541594578792296
0.1200000000000001,-4.83,0.5764982043070834,1.1500000000000001
0.06999999999999984,-4.88,0.55,1.1869316876852982
0.06999999999999984,-5.13,0.582455532033676,1.1510412149464313
0.020000000000000018,-5.18,0.55,1.2000000000000002
0.020000000000000018,-5.529999999999999,0.6000000000000001,1.2000000000000002
-0.029999999999999805,-5.58,0.5684658438426491,1.25
-0.029999999999999805,-5.73,0.620820393249937,1.2354960132182442
-0.08000000000000007,-5.779999999999999,0.6000000000000001,1.2738202294873728
-0.08000000000000007,-5.88,0.6446221994724902,1.25862523283024
-0.1299999999999999,-5.93,0.620820393249937,1.3036986370680885
-0.1299999999999999,-6.029999999999999,0.6658910531638177,1.3
-0.18000000000000016,-6.08,0.6446221994724902,1.35
-0.18000000000000016,-6.13,0.6711102550927979,1.35
-0.22999999999999998,-6.18,0.6606335201775948,1.4000000000000001
-0.22999999999999998,-6.279999999999999,0.7132168761236874,1.4000000000000001
-0.2799999999999998,-6.33,0.7000000000000001,1.4500000000000002
-0.2799999999999998,-6.38,0.7310249675906655,1.4500000000000002
-0.3799999999999999,-6.48,0.7278174593052023,1.55
-0.3799999999999999,-6.529999999999999,0.7631727983645297,1.5390248582070705
-0.43000000000000016,-6.58,0.7631727983645297,1.5778820596099707
-0.43000000000000016,-6.63,0.798528137423857,1.5694134740701646
-0.48,-6.68,0.798528137423857,1.5946884203398526
-0.5299999999999998,-6.68,0.7631727983645297,1.6120770138594662
-0.6800000000000002,-6.83,0.7700609733428364,1.5160459763365826
