# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
3.650000,0.866106,-3.302182,-1.665918,-0.103267,3.817549,-2.361542
3.700000,0.853180,-3.428697,-1.679432,-0.109260,3.737550,-2.310244
3.750000,0.838497,-3.555021,-1.693696,-0.114962,3.657596,-2.257426
3.800000,0.821969,-3.681116,-1.708697,-0.120935,3.577695,-2.203562
3.850000,0.803502,-3.806941,-1.724484,-0.127377,3.497979,-2.164293
3.900000,0.783000,-3.932448,-1.741114,-0.134232,3.418135,-2.133073
3.950000,0.760357,-4.057587,-1.758635,-0.141339,3.337322,-2.065395
4.000000,0.735467,-4.182295,-1.777120,-0.149229,3.256645,-1.968689
4.050000,0.708213,-4.306507,-1.796675,-0.158391,3.177710,-1.875945
4.100000,0.678460,-4.430144,-1.817444,-0.168370,3.100801,-1.809917
4.150000,0.646067,-4.553114,-1.839507,-0.178694,3.025076,-1.753304
4.200000,0.610888,-4.675316,-1.862904,-0.189229,2.949596,-1.675654
4.250000,0.572776,-4.796634,-1.887708,-0.200689,2.875399,-1.596899
4.300000,0.531578,-4.916939,-1.914025,-0.213245,2.802969,-1.525490
4.350000,0.487130,-5.036082,-1.941983,-0.226442,2.731917,-1.450721
4.400000,0.439268,-5.153895,-1.971678,-0.240427,2.662514,-1.380589
4.450000,0.387825,-5.270189,-2.003204,-0.255315,2.594867,-1.331815
4.500000,0.332630,-5.384750,-2.036666,-0.270889,2.528366,-1.318462
4.550000,0.273521,-5.497342,-2.072135,-0.286932,2.461164,-1.307308
4.600000,0.210343,-5.607702,-2.109680,-0.303442,2.392209,-1.266330
4.650000,0.142952,-5.715539,-2.149380,-0.320797,2.323111,-1.209062
4.700000,0.071219,-5.820536,-2.191313,-0.338763,2.254937,-1.139289
4.750000,-0.004967,-5.922346,-2.235514,-0.356654,2.188406,-1.075315
4.800000,-0.085687,-6.020599,-2.281923,-0.373865,2.124616,-1.096922
4.850000,-0.170991,-6.114897,-2.330737,-0.392905,2.059246,-1.073172
4.900000,-0.260906,-6.204811,-2.382257,-0.416307,1.988320,-0.803858
4.950000,-0.355437,-6.289853,-2.436166,-0.434636,1.930721,-0.661535
5.000000,-0.454511,-6.369556,-2.492198,-0.447063,1.888232,-0.708856
5.050000,-0.557957,-6.443494,-2.550337,-0.465084,1.838471,-0.522064
5.100000,-0.665583,-6.511192,-2.610344,-0.481330,1.796331,-0.408212
