76.0,4.0
71.0,9.0
70.0,9.0
64.0,15.0
64.0,16.0
63.0,17.0
63.0,18.0
62.0,19.0
62.0,20.0
61.0,21.0
61.0,24.0
60.0,25.0
60.0,54.0
59.0,55.0
59.0,61.0
60.0,62.0
60.0,66.0
61.0,67.0
61.0,71.0
62.0,72.0
62.0,76.0
63.0,77.0
63.0,80.0
67.0,84.0
67.0,89.0
70.0,92.0
70.0,101.0
67.0,104.0
65.0,104.0
62.0,101.0
62.0,100.0
61.0,99.0
61.0,98.0
60.0,97.0
60.0,95.0
59.0,94.0
59.0,93.0
58.0,92.0
58.0,90.0
57.0,89.0
57.0,87.0
56.0,86.0
56.0,84.0
55.0,83.0
55.0,80.0
54.0,79.0
54.0,75.0
53.0,74.0
53.0,70.0
52.0,69.0
52.0,67.0
51.0,66.0
49.0,66.0
48.0,67.0
46.0,67.0
45.0,68.0
45.0,69.0
44.0,70.0
44.0,71.0
42.0,73.0
42.0,74.0
41.0,75.0
41.0,76.0
39.0,78.0
39.0,79.0
38.0,80.0
38.0,81.0
37.0,82.0
37.0,83.0
36.0,84.0
36.0,85.0
34.0,87.0
34.0,88.0
33.0,89.0
33.0,90.0
32.0,91.0
32.0,92.0
30.0,94.0
30.0,95.0
29.0,96.0
29.0,97.0
28.0,98.0
28.0,99.0
27.0,100.0
27.0,101.0
26.0,102.0
26.0,103.0
25.0,104.0
25.0,107.0
24.0,108.0
24.0,110.0
23.0,111.0
23.0,114.0
22.0,115.0
22.0,117.0
21.0,118.0
21.0,120.0
20.0,121.0
20.0,124.0
19.0,125.0
19.0,127.0
18.0,128.0
18.0,131.0
17.0,132.0
17.0,135.0
16.0,136.0
16.0,138.0
15.0,139.0
15.0,142.0
14.0,143.0
14.0,148.0
13.0,149.0
13.0,154.0
12.0,155.0
12.0,159.0
11.0,160.0
11.0,165.0
10.0,166.0
10.0,170.0
9.0,171.0
9.0,175.0
8.0,176.0
8.0,181.0
7.0,182.0
7.0,191.0
6.0,192.0
6.0,193.0
4.0,195.0
4.0,247.0
7.0,250.0
7.0,252.0
8.0,253.0
8.0,258.0
9.0,259.0
9.0,264.0
10.0,265.0
10.0,270.0
11.0,271.0
11.0,276.0
12.0,277.0
12.0,281.0
13.0,282.0
13.0,293.0
14.0,294.0
14.0,315.0
15.0,316.0
15.0,353.0
14.0,354.0
14.0,369.0
13.0,370.0
13.0,380.0
14.0,381.0
14.0,388.0
15.0,389.0
15.0,395.0
16.0,396.0
16.0,402.0
17.0,403.0
17.0,410.0
18.0,411.0
18.0,417.0
19.0,418.0
19.0,423.0
20.0,424.0
20.0,425.0
21.0,426.0
21.0,428.0
22.0,429.0
22.0,432.0
23.0,433.0
23.0,434.0
24.0,435.0
24.0,437.0
25.0,438.0
25.0,441.0
26.0,442.0
26.0,444.0
27.0,445.0
27.0,446.0
28.0,447.0
28.0,448.0
34.0,454.0
35.0,454.0
36.0,455.0
41.0,455.0
42.0,454.0
43.0,454.0
46.0,451.0
47.0,451.0
48.0,450.0
49.0,450.0
50.0,449.0
51.0,449.0
52.0,448.0
53.0,448.0
54.0,447.0
55.0,447.0
56.0,446.0
58.0,446.0
59.0,445.0
60.0,445.0
61.0,444.0
62.0,444.0
63.0,443.0
64.0,443.0
65.0,442.0
66.0,442.0
67.0,441.0
69.0,441.0
70.0,440.0
71.0,440.0
72.0,439.0
73.0,439.0
74.0,438.0
75.0,438.0
