-0.095,8.251,0.918
-0.293,8.225,0.917
-0.481,8.158,0.917
-0.648,8.050,0.916
-0.792,7.911,1.117
-0.911,7.751,1.117
-1.008,7.576,1.336
-1.085,7.392,1.336
-1.144,7.201,1.530
-1.188,7.006,1.662
-1.222,6.809,1.993
-1.253,6.612,2.116
-1.286,6.415,1.774
-1.327,6.219,1.440
-1.382,6.027,1.293
-1.454,5.841,1.238
-1.547,5.664,1.238
-1.661,5.500,1.237
-1.793,5.350,1.417
-1.938,5.213,1.522
-2.093,5.086,1.730
-2.254,4.968,1.963
-2.419,4.855,2.308
-2.585,4.744,2.292
-2.750,4.632,1.862
-2.912,4.514,1.796
-3.066,4.388,1.796
-3.213,4.252,1.795
-3.352,4.108,1.880
-3.483,3.957,1.926
-3.606,3.800,1.975
-3.721,3.636,2.023
-3.828,3.468,2.069
-3.928,3.295,2.115
-4.020,3.117,2.159
-4.105,2.937,2.204
-4.183,2.752,2.248
-4.254,2.566,2.293
-4.318,2.376,2.337
-4.376,2.185,2.383
-4.427,1.992,2.430
-4.472,1.797,2.478
-4.511,1.601,2.528
-4.544,1.404,2.581
-4.572,1.206,2.636
-4.595,1.008,2.695
-4.613,0.809,2.759
-4.626,0.609,2.827
-4.634,0.410,2.898
-4.638,0.210,2.978
-4.639,0.010,3.067
-4.635,-0.190,3.164
-4.629,-0.390,3.275
-4.619,-0.589,3.398
-4.607,-0.789,3.530
-4.593,-0.988,3.677
-4.576,-1.187,3.845
-4.558,-1.386,4.037
-4.539,-1.585,4.255
-4.519,-1.784,4.495
-4.497,-1.983,4.723
-4.476,-2.181,4.940
-4.455,-2.380,4.950
-4.434,-2.579,4.697
-4.413,-2.778,4.493
-4.394,-2.977,4.338
-4.376,-3.176,4.237
-4.360,-3.375,4.196
-4.346,-3.574,4.194
-4.334,-3.774,4.192
-4.324,-3.973,4.323
-4.314,-4.173,4.560
-4.306,-4.373,4.391
-4.297,-4.572,4.052
-4.287,-4.772,3.764
-4.276,-4.971,3.519
-4.263,-5.171,3.322
-4.248,-5.370,3.163
-4.230,-5.569,3.017
-4.209,-5.768,2.880
-4.183,-5.966,2.757
-4.154,-6.164,2.647
-4.119,-6.361,2.548
-4.080,-6.556,2.459
-4.034,-6.751,2.377
-3.983,-6.944,2.301
-3.924,-7.135,2.228
-3.859,-7.324,2.161
-3.786,-7.510,2.097
-3.706,-7.693,2.036
-3.617,-7.872,1.978
-3.520,-8.047,1.921
-3.414,-8.216,1.866
-3.299,-8.380,1.810
-3.174,-8.536,1.755
-3.041,-8.684,1.700
-2.897,-8.824,1.646
-2.745,-8.953,1.593
-2.583,-9.070,1.544
-2.412,-9.174,1.543
-2.233,-9.263,1.542
-2.048,-9.337,1.563
-1.857,-9.396,1.598
-1.662,-9.440,1.615
-1.465,-9.470,1.629
-1.265,-9.484,1.654
-1.066,-9.485,1.685
-0.866,-9.472,1.684
-0.668,-9.446,1.683
-0.472,-9.408,1.683
-0.278,-9.358,1.682
-0.088,-9.297,1.681
0.098,-9.225,1.680
0.280,-9.142,1.679
0.457,-9.049,1.678
0.628,-8.946,1.677
0.794,-8.835,1.676
0.953,-8.714,1.675
1.106,-8.585,1.674
1.251,-8.448,1.673
1.389,-8.303,1.672
1.518,-8.150,1.671
1.638,-7.991,1.670
1.750,-7.825,1.669
1.851,-7.653,1.669
1.942,-7.475,1.668
2.023,-7.292,1.667
2.091,-7.105,1.666
2.148,-6.913,1.659
2.192,-6.718,1.646
2.222,-6.520,1.627
2.238,-6.321,1.603
2.239,-6.121,1.602
2.225,-5.922,1.601
2.196,-5.724,1.662
2.154,-5.529,1.721
2.099,-5.337,1.784
2.033,-5.148,1.864
1.957,-4.963,1.946
1.873,-4.782,2.034
1.780,-4.605,2.129
1.681,-4.432,2.235
1.576,-4.262,2.350
1.466,-4.095,2.481
1.351,-3.931,2.632
1.233,-3.770,2.809
1.112,-3.611,3.019
0.989,-3.453,3.270
0.865,-3.297,3.577
0.740,-3.141,3.860
0.615,-2.985,3.555
0.490,-2.829,3.245
0.367,-2.671,2.989
0.247,-2.512,2.776
0.129,-2.351,2.597
0.014,-2.187,2.445
-0.096,-2.020,2.315
-0.200,-1.850,2.199
-0.298,-1.676,2.096
-0.389,-1.498,2.007
-0.473,-1.316,1.916
-0.546,-1.130,1.821
-0.610,-0.941,1.738
-0.662,-0.748,1.676
-0.701,-0.552,1.675
-0.726,-0.354,1.674
-0.737,-0.154,1.726
-0.736,0.046,1.781
-0.723,0.245,1.840
-0.698,0.443,1.904
-0.664,0.640,1.973
-0.620,0.835,2.048
-0.568,1.028,2.130
-0.508,1.219,2.221
-0.442,1.407,2.322
-0.369,1.594,2.435
-0.292,1.778,2.562
-0.209,1.960,2.708
-0.123,2.140,2.875
-0.034,2.319,3.071
0.057,2.497,3.297
0.151,2.673,3.565
0.245,2.850,3.850
0.340,3.025,4.108
0.434,3.201,3.758
0.528,3.378,3.468
0.621,3.555,3.224
0.711,3.733,3.014
0.799,3.913,2.829
0.884,4.094,2.657
0.964,4.277,2.473
1.040,4.462,2.295
1.111,4.648,2.108
1.176,4.837,1.911
1.234,5.029,1.698
1.286,5.222,1.480
1.329,5.417,1.272
1.363,5.614,1.109
1.388,5.812,1.028
1.402,6.011,1.026
1.405,6.211,1.024
1.396,6.411,1.023
1.375,6.609,1.021
1.341,6.806,1.020
1.291,7.000,1.018
1.226,7.188,1.017
1.143,7.371,1.016
1.044,7.544,1.015
0.927,7.706,1.013
0.793,7.854,1.012
0.643,7.986,1.011
0.477,8.096,1.011
0.296,8.181,1.010
0.104,8.235,1.009
