94.0,53.0
93.0,54.0
91.0,54.0
90.0,55.0
90.0,58.0
89.0,59.0
89.0,65.0
90.0,66.0
90.0,68.0
91.0,69.0
91.0,70.0
92.0,71.0
92.0,73.0
93.0,74.0
93.0,75.0
94.0,76.0
94.0,78.0
95.0,79.0
95.0,81.0
96.0,82.0
96.0,85.0
97.0,86.0
97.0,88.0
98.0,89.0
98.0,91.0
99.0,92.0
99.0,94.0
100.0,95.0
100.0,98.0
101.0,99.0
101.0,103.0
102.0,104.0
102.0,111.0
101.0,112.0
101.0,116.0
100.0,117.0
100.0,121.0
99.0,122.0
99.0,125.0
98.0,126.0
98.0,129.0
97.0,130.0
97.0,133.0
96.0,134.0
96.0,137.0
95.0,138.0
95.0,140.0
94.0,141.0
94.0,143.0
93.0,144.0
93.0,146.0
92.0,147.0
92.0,148.0
91.0,149.0
91.0,150.0
90.0,151.0
90.0,152.0
85.0,157.0
85.0,158.0
80.0,163.0
80.0,164.0
78.0,166.0
74.0,166.0
73.0,165.0
72.0,165.0
66.0,159.0
66.0,158.0
65.0,157.0
63.0,157.0
62.0,156.0
61.0,156.0
59.0,154.0
59.0,153.0
58.0,152.0
58.0,150.0
57.0,149.0
57.0,146.0
56.0,145.0
56.0,144.0
54.0,142.0
54.0,141.0
51.0,138.0
51.0,137.0
48.0,134.0
48.0,133.0
47.0,132.0
46.0,132.0
45.0,131.0
40.0,131.0
39.0,132.0
39.0,134.0
38.0,135.0
39.0,136.0
39.0,138.0
40.0,138.0
44.0,142.0
44.0,143.0
46.0,145.0
46.0,146.0
49.0,149.0
49.0,152.0
50.0,153.0
50.0,157.0
48.0,159.0
48.0,161.0
47.0,162.0
47.0,165.0
46.0,166.0
46.0,168.0
45.0,169.0
45.0,171.0
44.0,172.0
44.0,175.0
43.0,176.0
43.0,179.0
42.0,180.0
42.0,183.0
41.0,184.0
41.0,186.0
37.0,190.0
37.0,193.0
36.0,194.0
36.0,204.0
35.0,205.0
35.0,223.0
36.0,224.0
37.0,224.0
38.0,225.0
38.0,228.0
37.0,229.0
37.0,240.0
38.0,241.0
38.0,250.0
39.0,251.0
39.0,258.0
40.0,259.0
40.0,267.0
41.0,268.0
41.0,274.0
42.0,275.0
42.0,280.0
43.0,281.0
43.0,286.0
44.0,287.0
44.0,292.0
45.0,293.0
45.0,299.0
46.0,300.0
46.0,305.0
47.0,306.0
47.0,311.0
48.0,312.0
48.0,319.0
47.0,320.0
47.0,329.0
46.0,330.0
46.0,339.0
45.0,340.0
45.0,348.0
44.0,349.0
44.0,358.0
43.0,359.0
43.0,367.0
42.0,368.0
42.0,382.0
43.0,383.0
43.0,387.0
44.0,388.0
44.0,390.0
51.0,397.0
52.0,397.0
53.0,398.0
68.0,398.0
69.0,397.0
72.0,397.0
73.0,396.0
75.0,396.0
76.0,395.0
78.0,395.0
79.0,394.0
80.0,394.0
81.0,393.0
82.0,393.0
83.0,392.0
84.0,392.0
85.0,391.0
87.0,391.0
88.0,390.0
89.0,390.0
90.0,389.0
91.0,389.0
92.0,388.0
93.0,388.0
95.0,386.0
96.0,386.0
98.0,384.0
99.0,384.0
101.0,382.0
102.0,382.0
103.0,381.0
104.0,381.0
106.0,379.0
107.0,379.0
111.0,375.0
112.0,375.0
114.0,373.0
115.0,373.0
117.0,371.0
118.0,371.0
120.0,369.0
121.0,369.0
122.0,368.0
123.0,368.0
124.0,367.0
125.0,367.0
126.0,366.0
127.0,366.0
128.0,365.0
129.0,365.0
131.0,363.0
132.0,363.0
133.0,362.0
134.0,362.0
144.0,352.0
144.0,351.0
145.0,350.0
145.0,338.0
144.0,337.0
144.0,336.0
143.0,335.0
143.0,334.0
142.0,333.0
142.0,332.0
141.0,331.0
141.0,330.0
139.0,328.0
138.0,328.0
136.0,326.0
135.0,326.0
133.0,324.0
132.0,324.0
131.0,323.0
130.0,323.0
129.0,322.0
128.0,322.0
127.0,321.0
125.0,321.0
124.0,320.0
123.0,320.0
122.0,319.0
121.0,319.0
119.0,317.0
118.0,317.0
114.0,313.0
113.0,313.0
105.0,305.0
105.0,304.0
102.0,301.0
102.0,300.0
99.0,297.0
99.0,296.0
96.0,293.0
96.0,292.0
92.0,288.0
92.0,287.0
89.0,284.0
89.0,283.0
77.0,271.0
77.0,270.0
74.0,267.0
74.0,266.0
72.0,264.0
72.0,263.0
70.0,261.0
70.0,260.0
68.0,258.0
68.0,257.0
66.0,255.0
66.0,254.0
65.0,253.0
65.0,252.0
63.0,250.0
63.0,249.0
62.0,248.0
62.0,247.0
61.0,246.0
61.0,245.0
59.0,243.0
59.0,242.0
58.0,241.0
58.0,240.0
57.0,239.0
57.0,238.0
55.0,236.0
55.0,235.0
54.0,234.0
54.0,233.0
53.0,232.0
53.0,231.0
51.0,229.0
51.0,228.0
50.0,227.0
50.0,200.0
51.0,199.0
51.0,191.0
50.0,190.0
50.0,183.0
51.0,182.0
51.0,179.0
52.0,178.0
52.0,175.0
53.0,174.0
53.0,172.0
54.0,171.0
54.0,169.0
55.0,168.0
55.0,167.0
57.0,165.0
58.0,165.0
59.0,166.0
60.0,166.0
66.0,172.0
67.0,172.0
68.0,173.0
70.0,173.0
71.0,174.0
81.0,174.0
82.0,173.0
83.0,173.0
91.0,165.0
91.0,164.0
97.0,158.0
97.0,157.0
98.0,156.0
98.0,155.0
99.0,154.0
99.0,152.0
100.0,151.0
100.0,150.0
101.0,149.0
101.0,148.0
102.0,147.0
102.0,144.0
103.0,143.0
103.0,141.0
104.0,140.0
104.0,137.0
105.0,136.0
105.0,133.0
106.0,132.0
106.0,129.0
107.0,128.0
107.0,125.0
108.0,124.0
108.0,120.0
109.0,119.0
109.0,116.0
110.0,115.0
110.0,101.0
109.0,100.0
109.0,96.0
108.0,95.0
108.0,92.0
107.0,91.0
107.0,89.0
106.0,88.0
106.0,85.0
105.0,84.0
105.0,82.0
104.0,81.0
104.0,79.0
103.0,78.0
103.0,76.0
102.0,75.0
102.0,73.0
101.0,72.0
101.0,71.0
100.0,70.0
100.0,68.0
99.0,67.0
99.0,66.0
98.0,65.0
98.0,56.0
97.0,55.0
97.0,54.0
95.0,54.0
