#x_m,y_m,w_tr_right_m,w_tr_left_m
-0.8802632714717298,9.730263271471731,1.8321530224718712,0.8513878188659973
-0.7427978515625,9.700000000000003,1.745132307101624,0.823212459828649
-0.6135070800781248,9.650000000000002,1.676267650163207,0.823212459828649
-0.48883901596892443,9.58883901596893,1.6068041525780892,0.7631727983645297
-0.3681278052710324,9.518127805271035,1.5507810593582123,0.7278174593052023
-0.26206266543906054,9.412062665439063,1.4508331019803635,0.7000000000000001
-0.14135215036360815,9.341352150363608,1.364213562373095,0.6446221994724902
-0.03528624759931809,9.235286247599323,1.2841664064126335,0.6226812023536855
0.08542450712978678,9.164575492870217,1.2624404748406688,0.5903124237432849
0.19149086765873768,9.058509132341264,1.2039936203984454,0.5764982043070834
0.2975572281876886,8.952442771812315,1.1593386622447823,0.53309518948453
0.3682673495223847,8.831732650477619,1.090175425099138,0.53309518948453
0.4500000000000002,8.71558837890625,1.0813708498984762,0.49083269131959845
0.5096892533448427,8.59031074665516,1.0200467279516348,0.53309518948453
0.6000000000000005,8.477716064453126,1.0477249200050076,0.4885164807134504
0.6511135088476481,8.348886491152356,1.0270329614269007,0.520087712549569
0.7000000000000002,8.219134521484378,1.0420164833920778,0.5090169943749475
0.7500000000000009,8.089843750000004,1.060180165558726,0.5090169943749475
0.7925377643504534,7.9574622356495475,1.051135777277262,0.5352349955359813
0.8000000000000007,7.810552978515627,1.1,0.5352349955359813
0.8500000000000005,7.681262207031253,1.1043396380615196,0.5352349955359813
0.9000000000000004,7.5519714355468786,1.112970334961301,0.520087712549569
0.9500000000000002,7.422680664062501,1.1043396380615196,0.53309518948453
1.0000000000000009,7.293389892578126,1.1043396380615196,0.55
1.0400302114803628,7.159969788519639,1.0736102527122116,0.55
1.0500000000000007,7.0140991210937536,1.0736102527122116,0.5
1.0500000000000007,6.864099121093751,1.0270329614269007,0.5
1.1000000000000005,6.734808349609377,1.0293516572461452,0.45249378105604454
1.1000000000000005,6.584808349609375,0.9940306508910551,0.4885164807134504
1.1500000000000004,6.455517578125001,1.0094810050208547,0.45
1.1500000000000004,6.305517578125002,0.969803902718557,0.45
1.1500000000000004,6.155517578125,0.932344135219425,0.45249378105604454
1.2000000000000002,6.026226806640626,0.954987562112089,0.4424428900898052
1.1500000000000004,5.896936035156251,0.8719544457292887,0.45249378105604454
1.2000000000000002,5.767645263671877,0.90524865872714,0.4
1.2000000000000002,5.617645263671875,0.9,0.4
1.2000000000000002,5.467645263671876,0.9,0.4
1.2000000000000002,5.317645263671878,0.9,0.4
1.2000000000000002,5.167645263671876,0.9,0.4
1.2000000000000002,5.017645263671877,0.9013148795220224,0.4
1.1500000000000004,4.888354492187503,0.8719544457292887,0.45
1.1500000000000004,4.738354492187501,0.9117692030835672,0.45
1.1500000000000004,4.588354492187502,0.9462429422585639,0.45
1.1500000000000004,4.4383544921875,0.969803902718557,0.45
1.141765213638326,4.291765213638328,0.9611874208078343,0.5
1.1000000000000005,4.159063720703127,0.9807764064044152,0.5
1.1000000000000005,4.009063720703125,1.0188779163215975,0.47201532544552754
1.0500000000000007,3.8797729492187507,1.0094810050208547,0.5
1.0500000000000007,3.729772949218752,1.0420164833920778,0.4885164807134504
1.0000000000000009,3.600482177734376,1.0188779163215975,0.5090169943749475
1.0000000000000009,3.4504821777343757,1.0567971810589327,0.5
0.9649848942598194,3.314984894259819,1.0567971810589327,0.55
0.9500000000000002,3.171191406250001,1.090175425099138,0.5090169943749475
0.9000000000000004,3.0419006347656268,1.0923659658795863,0.55
0.8942727665084167,2.8942727665084185,1.112970334961301,0.5684658438426491
0.823560638757014,2.773560638757015,1.1043396380615196,0.582455532033676
0.7882045748813127,2.638204574881316,1.112970334961301,0.582455532033676
0.7500000000000009,2.5040283203125018,1.1583045973594572,0.5541522986797286
0.6500000000000004,2.3954498291015636,1.1426860441876563,0.5764982043070834
0.5760719449299758,2.2760719449299778,1.1215374513859981,0.620820393249937
0.5053613430871158,2.155361343087119,1.1520815280171308,0.6019202405202649
0.43465074124425573,2.0346507412442563,1.1849089035228468,0.6019202405202649
0.3285848384799639,1.9285848384799653,1.1603718436910204,0.6217514421272202
0.2500000000000009,1.811135864257814,1.1879418403139947,0.5903124237432849
0.1518083338728129,1.7018083338728118,1.1874368670764583,0.620820393249937
0.04574243110852283,1.5957424311085227,1.1874368670764583,0.6019202405202649
-0.06459960937499964,1.5000000000000018,1.1874368670764583,0.5863961030678928
-0.18103407349862888,1.4189659265013699,1.1520815280171308,0.6019202405202649
-0.28709997626291983,1.3129000237370825,1.1603718436910204,0.5863961030678928
-0.4078105781057806,1.2421894218942207,1.1593386622447823,0.6217514421272202
-0.5138764808700715,1.136123519129928,1.2039936203984454,0.6226812023536855
-0.6199423836343625,1.0300576163656405,1.2624404748406688,0.6446221994724902
-0.7406532778984616,0.9593467221015395,1.2841664064126335,0.692462120245875
-0.8467199436060477,0.8532800563939542,1.364213562373095,0.6933034373659254
-0.9674305690425324,0.7825694309574676,1.4508331019803635,0.756225774829855
-1.073496471806823,0.6765035281931784,1.55,0.8
-1.1088519637462229,0.5411480362537766,1.5390248582070705,0.7881527307120106
-1.1499999999999995,0.40819091796875107,1.55,0.7577747210701755
-1.1999999999999997,0.2789001464843768,1.5,0.7639410298049853
-1.1999999999999997,0.12890014648437642,1.5,0.75
-1.1999999999999997,-0.021099853515623934,1.5,0.75
-1.1999999999999997,-0.1710998535156243,1.4943445211480502,0.7148529270389178
-1.1999999999999997,-0.32109985351562287,1.42648230602334,0.7000000000000001
-1.1499999999999995,-0.45039062499999893,1.3922205101855958,0.65
-1.1497237807509708,-0.6002762192490287,1.3147344063956181,0.65178344238091
-1.0999999999999996,-0.7296813964843736,1.3147344063956181,0.6170832032063167
-1.0499999999999998,-0.8589721679687479,1.281352695569435,0.6076473218982953
-1.0,-0.9882629394531239,1.2709844813622908,0.582455532033676
-0.9499999999999993,-1.1175537109374982,1.2471121771072848,0.5684658438426491
-0.902231333621061,-1.2477686663789367,1.2000000000000002,0.6000000000000001
-0.8499999999999996,-1.3761352539062486,1.202996408614167,0.5541522986797286
-0.7961631419939579,-1.503836858006041,1.1706555615733703,0.5764982043070834
-0.7254510142425552,-1.6245489857574444,1.1593386622447823,0.5764982043070834
-0.6547398631881052,-1.7452601368118934,1.1426860441876563,0.5903124237432849
-0.5840292613452442,-1.8659707386547542,1.1426860441876563,0.5764982043070834
-0.5,-1.9811645507812479,1.1706555615733703,0.5520797289396148
-0.4072526514007162,-2.092747348599282,1.1541594578792296,0.5603277807866851
-0.3011866281724238,-2.1988133718275726,1.1706555615733703,0.5510407640085654
-0.1951206049441323,-2.304879395055865,1.1874368670764583,0.5603277807866851
-0.0890545817158408,-2.410945418284159,1.1874368670764583,0.5764982043070834
0.017011441512452485,-2.51701144151245,1.1874368670764583,0.5520797289396148
0.1230774647407431,-2.623077464740742,1.1874368670764583,0.5510407640085654
0.2291434879690355,-2.729143487969033,1.1919742348374223,0.5510407640085654
0.3352095111973279,-2.8352095111973252,1.2119429464123963,0.5510407640085654
0.4412755344256194,-2.9412755344256194,1.2306248474865698,0.5603277807866851
0.5473415576539118,-3.04734155765391,1.25384048104053,0.5863961030678928
0.6534075808822033,-3.1534075808822006,1.2700378782444086,0.5863961030678928
0.7594736041104948,-3.259473604110493,1.295362404707371,0.5903124237432849
0.8655396273387872,-3.3655396273387836,1.3101470508735444,0.620820393249937
0.9716056505670787,-3.471605650567078,1.3329316685939332,0.6217514421272202
1.077671673795371,-3.57767167379537,1.35089257261219,0.6300735254367722
1.1837376970236626,-3.683737697023661,1.3712670403551896,0.6571067811865476
1.2898037202519541,-3.7898037202519514,1.3922205101855958,0.6711102550927979
1.3958697434802465,-3.895869743480244,1.3922205101855958,0.692462120245875
1.5165803500140278,-3.9665803500140253,1.4034441853748634,0.6606335201775948
1.6226462527783179,-4.072646252778318,1.3922205101855958,0.6882411530116701
1.7433571664916352,-4.143357166491633,1.389618004888797,0.6571067811865476
1.8494238321992205,-4.24942383219922,1.3365424623862048,0.6571067811865476
1.9701346543932239,-4.320134654393222,1.3147344063956181,0.6217514421272202
2.076200884131868,-4.426200884131866,1.2700378782444086,0.6217514421272202
2.1822671138705125,-4.53226711387051,1.227693233918064,0.6019202405202649
2.3029779303580193,-4.602977930358019,1.227693233918064,0.5520797289396148
2.4090440411966663,-4.709044041196664,1.2000000000000002,0.5510407640085654
2.5151101520353114,-4.8151101520353095,1.1706555615733703,0.5510407640085654
