# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
3.550000,-2.406299,-4.030922,1.128493,-0.132600,5.000368,0.011097,-0.649308
3.600000,-2.298627,-3.811536,1.102895,-0.076561,5.250211,0.011133,-0.375978
3.650000,-2.186860,-3.594203,1.090896,-0.022933,5.489241,0.009871,-0.117995
3.700000,-2.073835,-3.377507,1.091096,0.024508,5.716422,0.009454,0.119589
3.750000,-1.962109,-3.160133,1.102854,0.070838,5.933002,0.008466,0.339448
3.800000,-1.854117,-2.940871,1.125040,0.110427,5.920986,0.007918,0.541424
3.850000,-1.752091,-2.718772,1.156997,0.151624,5.675105,0.008414,0.742105
3.900000,-1.658375,-2.493056,1.199251,0.193924,5.491911,0.008363,0.948276
3.950000,-1.575465,-2.263165,1.251824,0.236908,5.338027,0.009149,1.164301
4.000000,-1.506041,-2.028868,1.315681,0.287146,5.231009,0.011618,1.419908
4.050000,-1.453337,-1.790278,1.393815,0.352209,5.196476,0.008241,1.660911
4.100000,-1.420896,-1.548122,1.481772,0.359172,5.195498,-0.005508,1.697640
4.150000,-1.409384,-1.304059,1.563579,0.310377,5.214141,-0.009297,1.521870
4.200000,-1.416442,-1.059810,1.633959,0.265802,5.288663,-0.008516,1.302917
4.250000,-1.439366,-0.816526,1.693871,0.225056,5.407011,-0.007250,1.109004
4.300000,-1.475698,-0.574872,1.744860,0.192688,5.559533,-0.006208,0.943049
4.350000,-1.523376,-0.335188,1.788176,0.161452,5.734033,-0.006396,0.788193
4.400000,-1.580466,-0.097563,1.823679,0.129373,5.930608,-0.006082,0.635151
4.450000,-1.645062,0.138139,1.851691,0.099842,6.142766,-0.005962,0.487002
4.500000,-1.715384,0.372203,1.872379,0.069335,6.346726,-0.006193,0.337933
4.550000,-1.789655,0.605048,1.885484,0.038206,6.544217,-0.005770,0.191068
4.600000,-1.866129,0.837182,1.891486,0.011117,6.736199,-0.005458,0.052700
4.650000,-1.943222,1.069113,1.890754,-0.017351,6.764713,-0.005784,-0.085207
4.700000,-2.019325,1.301369,1.882965,-0.046014,6.430167,-0.005493,-0.223532
4.750000,-2.092822,1.534461,1.868401,-0.073490,6.151519,-0.005771,-0.362005
4.800000,-2.162100,1.768837,1.846765,-0.103801,5.883940,-0.006228,-0.508839
4.850000,-2.225398,2.004893,1.817517,-0.135305,5.636694,-0.005928,-0.657920
4.900000,-2.280883,2.242902,1.780973,-0.163979,5.401079,-0.006264,-0.808186
4.950000,-2.326739,2.482944,1.736698,-0.199149,5.180593,-0.007193,-0.973201
5.000000,-2.360864,2.724923,1.683653,-0.234371,4.974299,-0.006817,-1.144866
5.050000,-2.381079,2.968449,1.622212,-0.268081,4.775757,-0.005845,-1.300790
5.100000,-2.385383,3.212764,1.553574,-0.293867,4.571786,-0.006452,-1.453814
5.150000,-2.372023,3.456741,1.476830,-0.337329,4.372769,-0.011232,-1.671205
5.200000,-2.338455,3.698745,1.386453,-0.402481,4.202059,-0.013694,-1.976162
5.250000,-2.281223,3.936237,1.279214,-0.475398,4.070697,-0.011985,-2.288427
5.300000,-2.197099,4.165548,1.157610,-0.514509,3.955579,-0.001383,-2.455787
5.350000,-2.085322,4.382722,1.033636,-0.505399,3.830043,-0.006877,-2.565421
5.400000,-1.947054,4.584040,0.901068,-0.585413,3.687315,-0.016016,-2.844297
5.450000,-1.781657,4.763649,0.749206,-0.653473,3.575065,-0.010618,-3.174429
5.500000,-1.589922,4.914763,0.583625,-0.705043,3.465394,-0.012584,-3.466462
5.550000,-1.375093,5.030620,0.402560,-0.779989,3.383578,-0.014927,-3.810128
5.600000,-1.142348,5.103724,0.202613,-0.859849,3.351685,0.495464,-3.998941
