# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
0.720000,0.966289,2.459279,-1.548580,-0.144242,5.656963,0.232454,0.471902
0.730000,0.969526,2.410505,-1.525843,-0.138822,5.701137,0.087568,4.742158
0.740000,0.972431,2.361711,-1.453737,-0.133525,5.745405,-0.297243,7.724380
0.750000,0.975018,2.312899,-1.371355,-0.128336,5.789648,-0.728684,5.296887
0.760000,0.977299,2.264071,-1.347799,-0.123198,5.833744,-0.871922,-4.058570
0.770000,0.979285,2.215231,-1.452526,-0.118056,5.877568,-0.393099,-19.643344
0.780000,0.980990,2.166380,-1.740666,-0.112858,5.921002,0.980640,-31.536174
0.790000,0.982425,2.117520,-2.083250,-0.107593,5.964022,2.509728,-24.148387
0.800000,0.983603,2.068653,-2.223634,-0.102278,6.006671,3.052433,9.032078
0.810000,0.984537,2.019782,-1.902608,-0.096931,6.048989,1.669475,67.113834
0.820000,0.985240,1.970906,-0.881357,-0.091567,6.091017,-3.063307,131.697419
0.830000,0.985724,1.922028,0.731340,-0.086184,6.132773,-3.663424,170.848233
0.840000,0.986002,1.873148,2.535607,-0.080764,6.174254,4.007318,-144.596956
0.850000,0.986087,1.824267,-2.160599,-0.075285,6.215455,2.718354,-186.088144
0.860000,0.985993,1.775386,-1.186156,-0.069724,6.256373,-1.850538,62.984366
0.870000,0.985733,1.726507,-0.900912,-0.063945,6.297010,-3.061182,6.314650
0.880000,0.985322,1.677628,-1.059863,-0.057702,6.337374,-2.431830,-25.143028
0.890000,0.984776,1.628750,-1.403772,-0.050745,6.377472,-0.872341,-30.887005
0.900000,0.984110,1.579874,-1.677603,-0.042833,6.417312,0.449675,-18.208892
0.910000,0.983341,1.531000,-1.767950,-0.034136,6.456900,0.877883,-2.812245
0.920000,0.982490,1.482126,-1.733847,-0.025320,6.496240,0.706261,6.159607
0.930000,0.981576,1.433254,-1.644758,-0.017079,6.535335,0.267928,8.217385
0.940000,0.980620,1.384383,-1.569500,-0.010103,6.574189,-0.103192,5.080981
0.950000,0.979639,1.335512,-1.543138,-0.004746,6.612807,-0.234083,0.919676
0.960000,0.978641,1.286641,-1.551106,-0.000870,6.651192,-0.196355,-1.586327
0.970000,0.977636,1.237771,-1.574865,0.001703,6.689348,-0.080546,-2.242868
0.980000,0.976632,1.188900,-1.595964,0.003153,6.727280,0.023053,-1.449721
0.990000,0.975637,1.140030,-1.603859,0.003700,6.764992,0.062429,-0.306945
1.000000,0.974649,1.091159,-1.602103,0.003638,6.802487,0.054626,0.408023
1.010000,0.973669,1.042288,-1.595699,0.003272,6.839769,0.024085,0.622892
1.020000,0.972696,0.993417,-1.589645,0.002904,6.876841,-0.004775,0.429895
1.030000,0.971731,0.944546,-1.587101,0.002727,6.913706,-0.016495,0.119884
1.040000,0.970772,0.895675,-1.587247,0.002697,6.950368,-0.015086,-0.081936
1.050000,0.969821,0.846803,-1.588740,0.002738,6.986830,-0.007110,-0.149505
1.060000,0.968876,0.797932,-1.590237,0.002775,7.023095,0.000872,-0.103637
1.070000,0.967938,0.749060,-1.590812,0.002758,7.059167,0.004334,-0.020349
1.080000,0.967006,0.700188,-1.590644,0.002701,7.095047,0.004150,0.036039
1.090000,0.966081,0.651317,-1.590092,0.002627,7.130739,0.002079,0.056449
1.100000,0.965161,0.602444,-1.589515,0.002562,7.166247,-0.000121,0.045493
1.110000,0.964248,0.553572,-1.589182,0.002523,7.201571,-0.001139,0.022896
1.120000,0.963341,0.504700,-1.589057,0.002502,7.236716,-0.001144,0.006862
1.130000,0.962440,0.455828,-1.589045,0.002486,7.271684,-0.000607,0.000482
1.140000,0.961545,0.406955,-1.589048,0.002464,7.306478,-0.000002,0.002750
1.150000,0.960656,0.358083,-1.588990,0.002425,7.341099,0.000298,0.008568
1.160000,0.959773,0.309210,-1.588876,0.002374,7.375551,0.000314,0.012808
1.170000,0.958895,0.260337,-1.588733,0.002316,7.409835,0.000174,0.014432
1.180000,0.958023,0.211464,-1.588588,0.002259,7.443953,0.000007,0.013659
1.190000,0.957156,0.162591,-1.588460,0.002208,7.477908,-0.000080,0.011815
1.200000,0.956294,0.113718,-1.588351,0.002164,7.511703,-0.000088,0.010351
1.210000,0.955438,0.064845,-1.588253,0.002127,7.545340,-0.000052,0.009616
1.220000,0.954587,0.015972,-1.588159,0.002097,7.578823,-0.000007,0.009563
1.230000,0.953741,-0.032902,-1.588062,0.002072,7.612153,0.000018,0.009859
1.240000,0.952899,-0.081775,-1.587962,0.002052,7.645331,0.000021,0.010103
1.250000,0.952063,-0.130649,-1.587860,0.002038,7.678356,0.000013,0.010186
1.260000,0.951231,-0.179522,-1.587758,0.002027,7.711227,0.000002,0.010114
1.270000,0.950405,-0.228396,-1.587658,0.002019,7.743944,-0.000006,0.009957
1.280000,0.949583,-0.277270,-1.587559,0.002013,7.776515,-0.000008,0.009809
1.290000,0.948766,-0.326144,-1.587461,0.002004,7.808954,-0.000006,0.009698
1.300000,0.947954,-0.375018,-1.587365,0.001991,7.841272,-0.000001,0.009624
1.310000,0.947146,-0.423892,-1.587269,0.001969,7.873481,0.000003,0.009563
1.320000,0.946344,-0.472766,-1.587174,0.001942,7.905558,0.000004,0.009486
1.330000,0.945545,-0.521640,-1.587079,0.001911,7.937465,0.000002,0.009381
1.340000,0.944752,-0.570514,-1.586986,0.001880,7.969161,-0.000001,0.009248
1.350000,0.943963,-0.619389,-1.586894,0.001854,8.000615,-0.000002,0.009114
1.360000,0.943178,-0.668263,-1.586804,0.001834,8.031905,-0.000001,0.009019
1.370000,0.942398,-0.717138,-1.586714,0.001824,8.063186,0.000000,0.008980
1.380000,0.941622,-0.766012,-1.586624,0.001826,8.094611,-0.000000,0.008996
1.390000,0.940851,-0.814887,-1.586534,0.001842,8.126316,-0.000002,0.009068
1.400000,0.940084,-0.863762,-1.586443,0.001872,8.158054,-0.000002,0.009193
1.410000,0.939321,-0.912636,-1.586350,0.001914,8.189264,-0.000000,0.009372
1.420000,0.938563,-0.961511,-1.586255,0.001964,8.219373,0.000002,0.009604
1.430000,0.937810,-1.010386,-1.586158,0.002021,8.247863,0.000002,0.009878
1.440000,0.937061,-1.059261,-1.586058,0.002081,8.275506,0.000002,0.010170
1.450000,0.936318,-1.108136,-1.585955,0.002143,8.304388,0.000002,0.010469
1.460000,0.935580,-1.157011,-1.585848,0.002207,8.336653,0.000002,0.010775
1.470000,0.934846,-1.205887,-1.585739,0.002269,8.374318,0.000003,0.011082
1.480000,0.934119,-1.254762,-1.585627,0.002331,8.415047,0.000003,0.011384
1.490000,0.933397,-1.303637,-1.585511,0.002391,8.451170,0.000002,0.011674
1.500000,0.932680,-1.352513,-1.585393,0.002448,8.474691,0.000002,0.011953
1.510000,0.931970,-1.401388,-1.585272,0.002503,8.477714,0.000004,0.012239
1.520000,0.931265,-1.450264,-1.585149,0.002559,8.457666,0.000007,0.012574
1.530000,0.930567,-1.499140,-1.585021,0.002626,8.419851,0.000009,0.012988
1.540000,0.929875,-1.548015,-1.584889,0.002715,8.370209,0.000006,0.013480
1.550000,0.929189,-1.596891,-1.584751,0.002836,8.314660,-0.000004,0.014013
1.560000,0.928511,-1.645767,-1.584609,0.002982,8.257188,-0.000016,0.014477
1.570000,0.927839,-1.694643,-1.584462,0.003117,8.198305,-0.000020,0.014794
1.580000,0.927174,-1.743520,-1.584313,0.003201,8.138161,-0.000007,0.014954
1.590000,0.926517,-1.792396,-1.584163,0.003194,8.076907,-0.000021,0.014269
1.600000,0.925867,-1.841272,-1.584027,0.002926,8.014933,-0.000143,0.010563
1.610000,0.925221,-1.890149,-1.583951,0.001950,7.953147,-0.000277,0.002142
1.620000,0.924576,-1.939025,-1.583984,-0.000220,7.892525,-0.000197,-0.011189
1.630000,0.923928,-1.987902,-1.584175,-0.004069,7.834045,0.000179,-0.029231
1.640000,0.923271,-2.036778,-1.584569,-0.009755,7.778298,0.000483,-0.051249
