# 9ec8e6f5-1d37-48ec-a7c1-c90b7cb1befc
# e07e1e041103dab9400e26d1460cefc0ba05bc93
# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
4.100000,-1.420896,-1.548122,-0.089024,0.117977,5.195498,0.290332
4.150000,-1.409384,-1.304059,-0.007217,0.102068,5.214141,1.500935
4.200000,-1.416442,-1.059810,0.063163,0.087491,5.288663,2.504700
4.250000,-1.439366,-0.816526,0.123075,0.074133,5.407011,3.358101
4.300000,-1.475698,-0.574872,0.174063,0.063502,5.559533,3.978101
4.350000,-1.523376,-0.335188,0.217380,0.053229,5.734033,4.619906
4.400000,-1.580466,-0.097563,0.252883,0.042667,5.930608,5.238741
4.450000,-1.645062,0.138139,0.280895,0.032936,6.142766,5.210206
4.500000,-1.715384,0.372203,0.301583,0.022877,6.346726,5.206158
4.550000,-1.789655,0.605048,0.314688,0.012607,6.544217,5.243909
4.600000,-1.866129,0.837182,0.320690,0.003669,6.736199,2.166543
4.650000,-1.943222,1.069113,0.319958,-0.005726,6.764713,-9.275808
4.700000,-2.019325,1.301369,0.312169,-0.015183,6.430167,-7.165323
4.750000,-2.092822,1.534461,0.297605,-0.024247,6.151519,-6.682013
4.800000,-2.162100,1.768837,0.275968,-0.034241,5.883940,-5.878549
4.850000,-2.225398,2.004893,0.246721,-0.044621,5.636694,-5.362632
4.900000,-2.280883,2.242902,0.210176,-0.054060,5.401079,-4.832543
4.950000,-2.326739,2.482944,0.165902,-0.065624,5.180593,-4.317085
5.000000,-2.360864,2.724923,0.112856,-0.077189,4.974299,-3.976426
5.050000,-2.381079,2.968449,0.051416,-0.088237,4.775757,-3.899375
5.100000,-2.385383,3.212764,-0.017223,-0.096674,4.571786,-3.705828
5.150000,-2.372023,3.456741,-0.093966,-0.110860,4.372769,-3.056429
5.200000,-2.338455,3.698745,-0.184343,-0.132048,4.202059,-2.273745
5.250000,-2.281223,3.936237,-0.291582,-0.155613,4.070697,-1.934680
5.300000,-2.197099,4.165548,-0.413186,-0.168182,3.955579,-1.881859
5.350000,-2.085322,4.382722,-0.537161,-0.165270,3.830043,-2.303449
5.400000,-1.947054,4.584040,-0.669728,-0.190819,3.687315,-1.660647
5.450000,-1.781657,4.763649,-0.821590,-0.212397,3.575065,-1.608948
5.500000,-1.589922,4.914763,-0.987171,-0.228598,3.465394,-1.204543
5.550000,-1.375093,5.030620,-1.168237,-0.251927,3.383578,-0.492541
5.600000,-1.142348,5.103724,-1.368184,-0.276486,3.351685,0.130898
