-0.852,5.143,3.510
-0.654,5.124,3.530
-0.461,5.075,3.540
-0.277,4.998,3.578
-0.105,4.898,3.659
0.054,4.777,3.765
0.198,4.640,3.876
0.329,4.490,3.998
0.444,4.327,4.124
0.546,4.156,4.256
0.634,3.977,4.393
0.710,3.793,4.535
0.773,3.604,4.681
0.826,3.412,4.832
0.868,3.217,4.988
0.902,3.020,5.150
0.927,2.823,5.316
0.944,2.624,5.488
0.955,2.425,5.666
0.961,2.226,5.847
0.962,2.026,6.022
0.959,1.827,6.193
0.953,1.628,6.358
0.947,1.428,6.519
0.940,1.229,6.677
0.935,1.030,6.830
0.930,0.831,6.980
0.926,0.631,7.127
0.923,0.432,7.271
0.921,0.233,7.411
0.919,0.033,7.549
0.918,-0.166,7.685
0.917,-0.365,7.818
0.917,-0.565,7.948
0.917,-0.764,8.077
0.918,-0.963,8.203
0.919,-1.163,8.327
0.919,-1.362,8.449
0.920,-1.561,8.229
0.921,-1.761,7.992
0.921,-1.960,7.756
0.921,-2.159,7.525
0.920,-2.359,7.306
0.918,-2.558,7.105
0.913,-2.757,6.920
0.905,-2.957,6.746
0.894,-3.156,6.578
0.878,-3.354,6.417
0.858,-3.553,6.261
0.833,-3.750,6.111
0.802,-3.947,5.964
0.765,-4.143,5.822
0.721,-4.338,5.683
0.670,-4.530,5.547
0.611,-4.721,5.413
0.544,-4.908,5.280
0.468,-5.093,5.149
0.383,-5.273,5.019
0.289,-5.449,4.890
0.184,-5.619,4.763
0.070,-5.782,4.638
-0.055,-5.937,4.512
-0.191,-6.083,4.387
-0.337,-6.219,4.264
-0.493,-6.342,4.138
-0.660,-6.452,4.002
-0.835,-6.546,3.860
-1.019,-6.624,3.707
-1.209,-6.682,3.586
-1.405,-6.717,3.495
-1.604,-6.724,3.420
-1.802,-6.703,3.346
-1.995,-6.651,3.310
-2.175,-6.567,3.294
-2.338,-6.453,3.293
-2.478,-6.311,3.291
-2.592,-6.148,3.349
-2.681,-5.969,3.441
-2.745,-5.781,3.551
-2.785,-5.586,3.667
-2.803,-5.387,3.790
-2.800,-5.188,3.919
-2.778,-4.990,4.057
-2.740,-4.794,4.207
-2.688,-4.602,4.372
-2.625,-4.413,4.555
-2.552,-4.227,4.758
-2.472,-4.045,4.973
-2.386,-3.865,5.179
-2.296,-3.687,5.377
-2.203,-3.511,5.568
-2.109,-3.335,5.752
-2.015,-3.159,5.930
-1.923,-2.982,6.103
-1.833,-2.804,5.936
-1.747,-2.624,5.757
-1.667,-2.442,5.601
-1.593,-2.257,5.469
-1.527,-2.069,5.366
-1.470,-1.878,5.302
-1.425,-1.684,5.276
-1.393,-1.487,5.274
-1.375,-1.288,5.272
-1.370,-1.089,5.292
-1.377,-0.890,5.348
-1.395,-0.691,5.435
-1.422,-0.494,5.542
-1.458,-0.298,5.665
-1.500,-0.103,5.805
-1.549,0.090,5.962
-1.603,0.282,6.133
-1.661,0.473,6.300
-1.721,0.663,6.463
-1.785,0.852,6.622
-1.849,1.041,6.777
-1.913,1.229,6.612
-1.977,1.418,6.353
-2.040,1.607,6.109
-2.100,1.797,5.880
-2.156,1.989,5.668
-2.208,2.181,5.465
-2.254,2.375,5.270
-2.293,2.571,5.090
-2.324,2.767,4.918
-2.346,2.966,4.752
-2.357,3.165,4.582
-2.357,3.364,4.412
-2.344,3.563,4.259
-2.316,3.760,4.130
-2.272,3.954,4.023
-2.209,4.143,3.946
-2.126,4.325,3.867
-2.023,4.495,3.787
-1.902,4.653,3.711
-1.761,4.795,3.653
-1.604,4.916,3.594
-1.430,5.015,3.544
-1.245,5.087,3.513
-1.051,5.131,3.511
