time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
3.600000,-2.580949,-6.113552,2.060872,-0.707593,3.043235,0.538064
3.650000,-2.666344,-5.920965,1.917213,-0.657133,3.081317,0.967826
3.700000,-2.724374,-5.718418,1.784245,-0.605485,3.147288,1.225692
3.750000,-2.756173,-5.510110,1.662096,-0.554551,3.228877,1.438587
3.800000,-2.763457,-5.299495,1.550333,-0.506070,3.321703,1.615742
3.850000,-2.748324,-5.089275,1.449459,-0.451236,3.423237,1.934215
3.900000,-2.713324,-4.881418,1.360568,-0.392035,3.541004,2.362945
3.950000,-2.661306,-4.677134,1.284558,-0.328963,3.679855,2.922467
4.000000,-2.595267,-4.476927,1.222114,-0.263276,3.844675,3.645985
4.050000,-2.518222,-4.280688,1.173553,-0.198147,4.040952,4.534317
4.100000,-2.432969,-4.087871,1.137279,-0.146426,4.272138,5.217668
4.150000,-2.341774,-3.897780,1.111329,-0.099388,4.522677,5.271059
4.200000,-2.246632,-3.709632,1.095659,-0.049959,4.761710,5.246453
4.250000,-2.149479,-3.522509,1.089674,-0.007171,4.989809,5.117494
4.300000,-2.052031,-3.335528,1.092485,0.033729,5.196768,-0.583114
4.350000,-1.955913,-3.147857,1.103840,0.073227,5.164528,-5.273392
4.400000,-1.862674,-2.958731,1.122888,0.107316,4.946529,-3.758827
4.450000,-1.773740,-2.767541,1.149147,0.142105,4.784469,-2.855243
4.500000,-1.690591,-2.573775,1.183044,0.179259,4.658367,-1.763170
4.550000,-1.614818,-2.377016,1.224601,0.215207,4.579394,-0.533355
4.600000,-1.548062,-2.177028,1.274012,0.254124,4.556132,0.030359
4.650000,-1.492156,-1.973753,1.332431,0.300986,4.557296,-0.063616
4.700000,-1.449325,-1.767341,1.402015,0.357761,4.554418,-0.038198
4.750000,-1.421826,-1.558348,1.478099,0.360943,4.552628,-0.051715
4.800000,-1.410001,-1.347875,1.549772,0.319021,4.550261,-0.021542
4.850000,-1.412366,-1.137074,1.612862,0.279524,4.549137,-0.121274
4.900000,-1.427161,-0.926773,1.667904,0.242711,4.544115,0.770858
4.950000,-1.452726,-0.717504,1.715678,0.210788,4.581290,1.790888
5.000000,-1.487603,-0.509578,1.757374,0.184634,4.663866,2.427193
5.050000,-1.530538,-0.303160,1.793401,0.157043,4.773127,3.106056
5.100000,-1.580282,-0.098274,1.823584,0.129464,4.909311,3.816390
5.150000,-1.635614,0.105180,1.848199,0.104006,5.071290,4.537613
5.200000,-1.695392,0.307376,1.867387,0.077932,5.257701,5.277006
5.250000,-1.758478,0.508567,1.880966,0.050978,5.465221,5.270108
5.300000,-1.823731,0.709068,1.889001,0.025585,5.664982,4.904971
5.350000,-1.890079,0.909212,1.892000,0.002664,5.842252,-1.810367
5.400000,-1.956527,1.109322,1.889903,-0.022541,5.763385,-8.020835
5.450000,-2.022026,1.309745,1.882557,-0.046973,5.467074,-5.787712
5.500000,-2.085542,1.510803,1.870186,-0.070563,5.238551,-5.275767
5.550000,-2.146048,1.712785,1.852606,-0.096343,5.023110,-4.479988
5.600000,-2.202427,1.915954,1.829397,-0.123745,4.831968,-4.021269
5.650000,-2.253498,2.120519,1.800603,-0.149303,4.653637,-3.687937
5.700000,-2.298106,2.326586,1.766473,-0.174893,4.483965,-3.204675
5.750000,-2.335042,2.534162,1.726167,-0.207416,4.331241,-2.898219
5.800000,-2.362889,2.743145,1.679326,-0.236845,4.188039,-2.712145
5.850000,-2.380266,2.953253,1.626264,-0.266183,4.049377,-2.663953
5.900000,-2.385877,3.163996,1.567771,-0.288811,3.907960,-2.766039
5.950000,-2.378619,3.374683,1.503952,-0.318006,3.756137,-2.438364
6.000000,-2.357104,3.584387,1.431285,-0.371625,3.617277,-1.926825
6.050000,-2.319221,3.791747,1.346855,-0.429882,3.504620,-1.316090
6.100000,-2.262702,3.994798,1.249564,-0.492129,3.424509,-1.044842
6.150000,-2.185723,4.190988,1.143465,-0.512905,3.360956,-1.060385
6.200000,-2.088224,4.377834,1.036535,-0.504782,3.291200,-1.528782
6.250000,-1.971048,4.552996,0.923677,-0.567830,3.193920,-0.846364
6.300000,-1.833773,4.712842,0.796183,-0.640697,3.137616,-0.529608
6.350000,-1.676410,4.852931,0.657244,-0.679388,3.102987,-0.090006
6.400000,-1.500646,4.969048,0.508401,-0.735159,3.097155,-0.009247
6.450000,-1.309064,5.056584,0.346474,-0.803495,3.096516,-0.024066
6.500000,-1.105596,5.110660,0.170344,-0.871357,3.094727,-0.016425
